,comp_cik,year,vwretd,yret,basis_points_delta,finbert_positive,finbert_negative,finbert_neutral
0,1567101,2016,0.002929358,0.010643288121076955,0.007713930121076955,0.06187935173511505,0.12440332770347595,0.8137173056602478
1,1567101,2016,0.002929358,0.010643288121076955,0.007713930121076955,0.02508850209414959,0.1078922525048256,0.8670191764831543
2,1567138,2016,0.002929358,0.005900060842850774,0.002970702842850774,0.11054322868585588,0.07680898904800415,0.812647819519043
3,1567138,2016,0.002929358,0.005900060842850774,0.002970702842850774,0.13501974940299988,0.12633280456066132,0.7386474609375
4,1570384,2016,0.01877218,0.03098230169050531,0.01221012169050531,0.06682693958282471,0.10372591018676758,0.8294470906257629
5,1571768,2016,0.002929358,0.011719851246826618,0.008790493246826618,0.2080852687358856,0.13870413601398468,0.6532106399536133
6,1571768,2016,0.002929358,0.011719851246826618,0.008790493246826618,0.1634468287229538,0.1814330369234085,0.6551201343536377
7,1572617,2016,0.01877218,0.008633326551373388,-0.010138853448626611,0.041658937931060784,0.14524081349372864,0.8131002187728882
8,1572661,2016,0.01877218,0.0034504460846531693,-0.01532173391534683,0.07838243991136551,0.05091812089085579,0.8706994652748108
9,1573035,2016,0.002929358,0.015256600122381059,0.012327242122381059,0.03693090379238129,0.0987735167145729,0.8642956018447876
10,1573035,2016,0.002929358,0.015256600122381059,0.012327242122381059,0.02467026002705097,0.050073187798261636,0.9252565503120422
11,1573386,2016,0.01877218,0.01565883939000301,-0.0031133406099969896,0.03895930573344231,0.08409243822097777,0.8769482374191284
12,1573496,2016,0.002929358,0.0007066830780599886,-0.0022226749219400113,0.019949255511164662,0.057607751339674,0.9224429726600648
13,1577111,2016,0.002929358,0.017896770393460715,0.014967412393460715,0.07470967620611191,0.0931921899318695,0.832098126411438
14,1577111,2016,0.002929358,0.017896770393460715,0.014967412393460715,0.03648600727319717,0.11297345906496048,0.8505405187606812
15,1577579,2016,0.01877218,0.0114624833693302,-0.007309696630669799,0.024798555299639702,0.07193367183208466,0.9032676815986632
16,1579982,2016,0.01877218,-0.007611645509737919,-0.026383825509737918,0.08701049536466599,0.08605771511793138,0.8269317746162415
17,1580353,2016,0.002929358,-0.004733480889502761,-0.007662838889502761,0.07013159245252609,0.2936375141143799,0.6362308859825134
18,1580641,2016,0.01877218,0.01104961920484615,-0.007722560795153849,0.08944132924079895,0.23605254292488095,0.6745061874389648
19,1580956,2016,0.01877218,0.034753531894128775,0.015981351894128776,0.02352836169302464,0.12179958075284958,0.8546721339225769
20,1581466,2016,0.002929358,0.0058744673774075995,0.0029451093774075995,0.0430816188454628,0.15117475390434265,0.8057435750961304
21,1581466,2016,0.002929358,0.0058744673774075995,0.0029451093774075995,0.02153253369033337,0.04549263417720795,0.9329747557640076
22,1582739,2016,0.002929358,0.05243887560216853,0.04950951760216853,0.07691555470228195,0.07721826434135437,0.8458662033081055
23,1582739,2016,0.002929358,0.05243887560216853,0.04950951760216853,0.024221902713179592,0.131191223859787,0.8445868492126465
24,1584433,2016,0.01877218,0.005800630590188982,-0.012971549409811017,0.13680222630500793,0.17509204149246216,0.6881057620048523
25,1584986,2016,0.002929358,0.06295729344482281,0.060027935444822815,0.0344867929816246,0.12744879722595215,0.838064432144165
26,1584986,2016,0.002929358,0.06295729344482281,0.060027935444822815,0.03353538736701012,0.0719270184636116,0.8945375680923462
27,1586281,2016,0.002929358,-0.0074119827053737986,-0.010341340705373799,0.18834014236927032,0.1043158546090126,0.7073439955711365
28,1587982,2016,0.002929358,0.009321452021897825,0.006392094021897825,,,
29,1589025,2016,0.002929358,0.004503901948862632,0.001574543948862632,,,
30,1589025,2016,0.002929358,0.004503901948862632,0.001574543948862632,,,
31,1589161,2016,0.01877218,-0.009205787597623694,-0.027977967597623693,,,
32,1589756,2016,0.002929358,0.02479998191932431,0.02187062391932431,,,
33,1589756,2016,0.002929358,0.02479998191932431,0.02187062391932431,,,
34,1591167,2016,0.002929358,0.01898608584577932,0.01605672784577932,,,
35,1591167,2016,0.002929358,0.01898608584577932,0.01605672784577932,,,
36,1591556,2016,0.002929358,0.010731681749571731,0.007802323749571731,,,
37,1592106,2016,0.002929358,0.00629599447821394,0.00336663647821394,,,
38,1592106,2016,0.002929358,0.00629599447821394,0.00336663647821394,,,
39,1592106,2016,0.002929358,0.00629599447821394,0.00336663647821394,,,
40,1592900,2016,0.01877218,0.005034098174519386,-0.013738081825480614,,,
41,1593547,2016,0.002929358,0.012877963982299345,0.009948605982299345,,,
42,1593547,2016,0.002929358,0.012877963982299345,0.009948605982299345,,,
43,1594854,2016,0.01877218,0.011116282267545685,-0.007655897732454314,,,
44,1595106,2016,0.002929358,0.006223338223547925,0.003293980223547925,,,
45,1595106,2016,0.002929358,0.006223338223547925,0.003293980223547925,,,
46,1595386,2016,0.002929358,0.03869370789403015,0.03576434989403015,,,
47,1597389,2016,0.01877218,0.04083390652035557,0.022061726520355568,,,
48,1597934,2016,0.002929358,-0.0010949167452182218,-0.004024274745218222,,,
49,1597934,2016,0.002929358,-0.0010949167452182218,-0.004024274745218222,,,
50,1598735,2016,0.002929358,-0.009702750460482412,-0.012632108460482412,,,
51,1600215,2016,0.002929358,0.07323336217876597,0.07030400417876598,,,
52,1600215,2016,0.002929358,0.07323336217876597,0.07030400417876598,,,
53,1600584,2016,0.002929358,0.01993559683861945,0.01700623883861945,,,
54,1600584,2016,0.002929358,0.01993559683861945,0.01700623883861945,,,
55,1600600,2016,0.01877218,0.016033160265638058,-0.0027390197343619416,,,
